csv_organization,name,status,address,year,contributions,revenue
JSSA,"Assateague Island Alliance, Inc.",Current,"7206 National Seashore Lane, Berlin, Maryland, 21811",2024,"$96,124.00","$96,130.00"
JSSA,"Assateague Mobile Sportfishermen's Association, Inc.",Closed,", , ,",2010,$315.00,"$67,095.00"
JSSA,"Assateague People, Inc.",Not Current,", , ,",2017,"$2,687.00",$769.60
JSSA,"Association for Research and Enlightenment, Inc.",Delinquent,"215 67th Street, Virginia Beach, Virginia, 23451",2023,"$6,175,244.00","$9,386,314.00"
JSSA,Association Of Rape And Assault Prevention Inc.,Closed,", , ,",,,
JSSA,"Better Way Passage, Inc.",Not Current,", , ,",2019,$0.00,$0.00
JSSA,"Caring Ambassadors Program, Inc.",Current,"19591 S. Alberta Road, Beavercreek, Oregon, 97004",2024,"$101,200.00","$101,808.00"
JSSA,Cassandra Pryor,Closed,", , ,",,,
JSSA,"Chesapeake Dressage Intitute, Inc.",Closed,", , ,",,,
JSSA,Christ Ambassador International,Closed,", , ,",,,
JSSA,Col John Eager Howard Chapter MDSSAR,Delinquent,", , ,",2018,$500.00,"$1,315.00"
JSSA,Col. E. Brooke Lee Middle School Parent Teacher Student Association,Current,"11800 Monticello Avenue, Silver Spring, Maryland, 20902",2024,"$15,497.00",$0.00
JSSA,Domestic Violence and Sexual Assault Resource Center Inc.,Current,"882 Memorial Drive, Oakland, Maryland, 21550",2024,"$369,724.00","$1,214,441.00"
JSSA,"Dressage 4 Kids, Inc.",Current,"890 Mountain RD, Cheshire, Connecticut, 06410",2024,"$1,991,027.00","$2,365,816.00"
JSSA,"Dressage Foundation, Inc.",Current,"1314 O Street, Suite 305, Lincoln, Nebraska, 68508",2024,"$572,337.00","$848,248.00"
Primary Care Coalition,"Primary Care Coalition of Montgomery County, MD, Inc.",Current,"8757 Georgia Avenue, 10th Floor, Silver Spring, Maryland, 20910",2024,"$776,294.00","$25,950,502.00"
